paradigm,regime,shuffled,subject,n,acc,ci_lo,ci_hi,sig_thresh,majority,train_acc
imagined,"B within-subj, leave-run-out",False,76,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,78,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,80,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,81,42,0.7380952380952381,0.5796033128823919,0.8613898679115296,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,83,45,0.7111111111111111,0.5568547229147682,0.8363374395543188,0.6222222222222222,0.5111111111111111,
imagined,"B within-subj, leave-run-out",False,86,45,0.5111111111111111,0.35774038567003036,0.6629662516072066,0.6222222222222222,0.5111111111111111,
imagined,"B within-subj, leave-run-out",False,87,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,90,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,94,42,0.9047619047619048,0.7737751284472205,0.9734364303592397,0.6190476190476191,0.5,
imagined,"B within-subj, leave-run-out",False,96,45,0.4888888888888889,0.3370337483927935,0.6422596143299697,0.6222222222222222,0.5111111111111111,
imagined,"B within-subj, leave-run-out",False,102,42,0.6666666666666666,0.5045125357367691,0.8043319519634817,0.6190476190476191,0.5,
